date,USD_EUR,USD_RUB,TRY_per_USD,USD_ZAR,TRY_EUR,TRY_RUB,TRY_ZAR
2007-05-21,0.74322,25.894,1.3258,7.0577,1.7838594225128497,0.051201050436394537,0.1878515663743146
2007-05-28,0.74327,25.889,1.3232,7.1354,1.7802413658562837,0.05111051025532079,0.18544160103147686
2007-06-04,0.74245,25.875,1.3246,7.1973,1.7840932049296248,0.05119227053140096,0.1840412376863546
2007-06-11,0.75069,26.028,1.3349,7.2297,1.7782306944277932,0.05128707545719994,0.1846411331037249
2007-06-18,0.74549,25.942,1.3057,7.118,1.751465479080873,0.05033150875028911,0.1834363585276763
2007-06-25,0.74261,25.818,1.3213,7.1415,1.7792650247101438,0.051177473080796336,0.18501715325911922
2007-07-02,0.73481,25.689,1.2964,7.0025,1.7642655924660797,0.05046517964887695,0.18513388075687254
2007-07-09,0.72876,25.557,1.2859,7.0027,1.7645040891377135,0.050314982196658455,0.18362917160523798
2007-07-16,0.72511,25.443,1.2735,6.9373,1.7562852532719173,0.05005305978068624,0.18357285975811918
2007-07-23,0.72706,25.462,1.2641,6.9067,1.7386460539707864,0.04964653208703165,0.18302517844991095
2007-07-30,0.73115,25.58,1.2887,7.1158,1.76256582096697,0.050379202501954656,0.18110402203547035
2007-08-06,0.7269,25.45,1.2787,7.1037,1.7591140459485486,0.05024361493123772,0.18000478623815758
2007-08-13,0.73992,25.675,1.3441,7.3506,1.8165477348902586,0.05235053554040896,0.18285582129349987
2007-08-20,0.73893,25.787,1.3412,7.3098,1.8150569066082038,0.05201070306743708,0.18347971216722755
2007-08-27,0.73239,25.657,1.3178,7.2039,1.7993145728368767,0.05136220134855985,0.18292869140326767
2007-09-03,0.73351,25.657,1.3021,7.2349,1.7751632561246609,0.050750282573956425,0.17997484415817774
2007-09-10,0.72192,25.424,1.2792,7.1837,1.771941489361702,0.05031466331025802,0.17806979690131824
2007-09-17,0.71633,25.208,1.2472,7.118,1.7410969804419751,0.049476356712154876,0.17521775779713403
2007-09-24,0.70716,24.964,1.2207,6.94,1.72620057695571,0.04889841371575068,0.17589337175792505
2007-10-01,0.70587,24.936,1.2032,6.8998,1.7045631631886893,0.04825152390118704,0.1743818661410476
2007-10-08,0.70776,24.97,1.1888,6.8341,1.679665423307336,0.04760913095714858,0.17395121522951085
2007-10-15,0.70259,24.88,1.2097,6.8126,1.7217722996342104,0.04862138263665595,0.17756803569855856
2007-10-22,0.70082,24.848,1.2116,6.6771,1.7288319397277476,0.04876046361880232,0.18145602132662383
2007-10-29,0.69305,24.696,1.1831,6.5631,1.7070918404155544,0.047906543569808877,0.18026542335176973
2007-11-05,0.68395,24.516,1.1837,6.5303,1.730682067402588,0.04828275411975853,0.18126272912423624
2007-11-12,0.68329,24.505,1.193,6.7123,1.7459643782288634,0.04868394205264232,0.17773341477585924
2007-11-19,0.67668,24.377,1.1979,6.7762,1.7702606845185318,0.04914058333675186,0.17678049644343435
2007-11-26,0.676,24.362,1.1973,6.8844,1.771153846153846,0.04914621131270011,0.17391493812096914
2007-12-03,0.68185,24.478,1.1797,6.789,1.730145926523429,0.04819429691968297,0.17376638680218
2007-12-10,0.68255,24.483,1.1733,6.7488,1.7189949454252436,0.047923048645999264,0.1738531294452347
2007-12-17,0.69517,24.729,1.1926,6.9509,1.7155515916969952,0.04822677827651745,0.1715749039692702
2007-12-24,0.68799,24.624,1.1764,6.8902,1.7099085742525326,0.04777452891487979,0.17073524716263677
2007-12-31,0.67926,24.441,1.1667,6.8254,1.7176044519035423,0.047735362710200076,0.1709350367744015
2008-01-07,0.67972,24.448,1.161,6.866,1.7080562584593657,0.04748854712041885,0.16909408680454413
2008-01-14,0.67622,24.37,1.168,6.8939,1.7272485285853714,0.047927780057447675,0.16942514396785563
2008-01-21,0.68568,24.662,1.2057,7.1483,1.758400420021001,0.048888978996026275,0.168669473860918
2008-01-28,0.67481,24.452,1.1774,7.2941,1.744787421644611,0.04815148045149681,0.1614181324632237
2008-02-04,0.68287,24.639,1.187,7.6215,1.7382517902382593,0.04817565647956492,0.15574362002230532
2008-02-11,0.68526,24.641,1.2078,7.7192,1.7625426845285002,0.049015867862505585,0.15646699139807235
2008-02-18,0.67916,24.54,1.2017,7.7312,1.7693916013899522,0.04896903015484923,0.15543512003311258
2008-02-25,0.66644,24.213,1.1915,7.6043,1.7878578716763698,0.0492091025482179,0.15668766355877595
2008-03-03,0.65496,23.954,1.2229,7.857,1.8671369243923295,0.051052016364699006,0.15564464808451065
2008-03-10,0.64654,23.762,1.2298,7.8872,1.9021251585362082,0.051754902785960774,0.1559235216553403
2008-03-17,0.63841,23.601,1.2456,8.0804,1.9510972572484766,0.05277742468539469,0.15415078461462306
2008-03-24,0.63633,23.557,1.2678,8.0552,1.992362453443968,0.05381839792842892,0.15738901579104184
2008-03-31,0.63816,23.591,1.2974,7.9364,2.0330324683464966,0.05499554915009962,0.16347462325487627
2008-04-07,0.63436,23.514,1.2963,7.8389,2.043476890093953,0.05512885940290891,0.16536758984041128
2008-04-14,0.63072,23.436,1.3221,7.8814,2.096175799086758,0.056413210445468515,0.1677493846270967
2008-04-21,0.63183,23.457,1.3016,7.7001,2.060047797667094,0.05548876667945603,0.1690367657562889
2008-04-28,0.64313,23.694,1.2792,7.5873,1.9890224371433458,0.05398835148138769,0.16859752481119764
2008-05-05,0.64746,23.779,1.2631,7.5982,1.9508541068174092,0.053118297657597034,0.16623674028059274
2008-05-12,0.64671,23.832,1.2496,7.6105,1.9322416539097895,0.05243370258475999,0.16419420537415413
2008-05-19,0.63723,23.64,1.242,7.6341,1.9490607786827363,0.052538071065989844,0.16269108342830196
2008-05-26,0.6391,23.625,1.2326,7.6803,1.9286496635894226,0.05217354497354497,0.16048852258375323
2008-06-02,0.6445,23.737,1.2318,7.7729,1.9112490302560126,0.05189366811307242,0.15847367134531515
2008-06-09,0.6445,23.686,1.2519,7.9887,1.9424359968968195,0.052854006586169046,0.156708851252394
2008-06-16,0.64499,23.652,1.2314,8.0326,1.9091768864633563,0.05206325046507695,0.1533003012723153
2008-06-23,0.63967,23.542,1.2265,7.9819,1.9173949067487923,0.05209837736810805,0.15366015610318343
2008-06-30,0.63371,23.44,1.2405,7.8245,1.957520001262407,0.052922354948805456,0.15854048181992458
2008-07-07,0.63617,23.459,1.2248,7.7227,1.925271546913561,0.052210239140628334,0.1585973817447266
2008-07-14,0.6298,23.202,1.2087,7.6006,1.9191806922832646,0.05209464701318852,0.1590269189274531
2008-07-21,0.63347,23.297,1.1992,7.5645,1.8930651806715395,0.05147443876894021,0.1585299755436579
2008-07-28,0.63918,23.407,1.1834,7.4187,1.8514346506461405,0.050557525526551884,0.1595158181352528
