date,product,min_price,max_price,avg_price,unit,market
2025-01-22,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-23,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-01-23,Limon,12.0,25.0,18.5,Kg,antalya
2025-01-23,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-01-23,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-24,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-01-24,Limon,12.0,25.0,18.5,Kg,antalya
2025-01-24,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-01-24,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-25,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-01-25,Limon,12.0,25.0,18.5,Kg,antalya
2025-01-25,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-01-25,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-27,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-01-27,Limon,12.0,25.0,18.5,Kg,antalya
2025-01-27,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-01-27,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-28,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-01-28,Limon,12.0,25.0,18.5,Kg,antalya
2025-01-28,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-01-28,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-29,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-01-29,Limon,12.0,25.0,18.5,Kg,antalya
2025-01-29,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-01-29,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-30,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-01-30,Limon,12.0,25.0,18.5,Kg,antalya
2025-01-30,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-01-30,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-31,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-01-31,Limon,12.0,25.0,18.5,Kg,antalya
2025-01-31,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-01-31,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-02-01,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-02-01,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-01,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-02-01,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-02-03,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-02-03,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-03,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-02-03,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-02-04,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-02-04,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-04,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-02-04,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-02-05,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-02-05,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-05,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-02-05,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-02-06,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-02-06,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-06,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-02-06,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-02-07,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-02-07,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-07,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-02-07,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-02-08,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-02-08,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-08,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-02-08,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-02-10,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-02-10,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-10,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-02-10,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-02-11,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-02-11,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-11,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-02-11,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-02-12,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-02-12,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-12,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-02-12,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-02-13,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-02-13,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-13,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-02-13,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-02-14,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-02-14,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-14,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-02-14,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-02-15,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-02-15,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-15,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-02-15,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-02-17,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-02-17,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-17,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-02-17,Portakal (Valencia Pak),20.0,32.0,26.0,Kg,antalya
2025-02-18,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-02-18,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-18,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-02-18,Portakal (Valencia Pak),20.0,32.0,26.0,Kg,antalya
2025-02-19,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-02-19,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-19,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-02-19,Portakal (Valencia Pak),20.0,32.0,26.0,Kg,antalya
2025-02-20,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-02-20,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-20,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-02-20,Portakal (Valencia Pak),20.0,32.0,26.0,Kg,antalya
2025-02-21,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-02-21,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-21,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-02-21,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-02-22,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-02-22,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-22,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-02-22,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-02-24,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-02-24,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-24,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-02-24,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-02-25,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-02-25,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-25,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-02-25,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-02-26,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-02-26,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-26,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
