date,trend_portakal_fiyat,trend_portakal,trend_narenciye,trend_hal_fiyatları,trend_meyve_fiyat
2020-06-01,0,36,2,18,1
2020-07-01,0,29,2,11,1
2020-08-01,0,59,3,9,1
2020-09-01,0,50,2,9,1
2020-10-01,0,31,4,11,1
2020-11-01,0,33,6,14,1
2020-12-01,0,52,8,14,1
2021-01-01,0,53,6,18,1
2021-02-01,0,45,4,15,1
2021-03-01,0,41,3,16,1
2021-04-01,0,37,3,16,1
2021-05-01,0,34,3,19,1
2021-06-01,0,27,2,12,1
2021-07-01,0,22,2,8,0
2021-08-01,0,24,2,8,1
2021-09-01,0,24,2,9,1
2021-10-01,0,34,3,10,1
2021-11-01,0,29,4,14,1
2021-12-01,0,42,4,17,1
2022-01-01,0,54,5,19,1
2022-02-01,0,55,4,20,1
2022-03-01,0,58,3,19,1
2022-04-01,0,39,3,24,1
2022-05-01,0,29,2,21,1
2022-06-01,0,22,2,15,1
2022-07-01,0,22,2,11,1
2022-08-01,0,20,2,9,1
2022-09-01,0,22,2,9,1
2022-10-01,0,29,3,11,1
2022-11-01,0,30,6,13,1
2022-12-01,0,43,5,15,1
2023-01-01,0,45,4,13,1
2023-02-01,0,42,3,12,1
2023-03-01,0,46,3,14,1
2023-04-01,0,40,2,14,0
2023-05-01,0,44,2,12,0
2023-06-01,0,30,2,9,0
2023-07-01,0,26,2,8,1
2023-08-01,0,22,2,8,1
2023-09-01,0,28,2,7,1
2023-10-01,0,25,3,8,1
2023-11-01,0,30,4,12,1
2023-12-01,0,49,5,11,1
2024-01-01,0,52,5,9,1
2024-02-01,0,49,5,8,1
2024-03-01,0,45,3,8,0
2024-04-01,0,48,2,9,1
2024-05-01,0,27,2,7,1
2024-06-01,0,21,2,7,0
2024-07-01,0,20,2,5,1
2024-08-01,0,20,2,5,0
2024-09-01,0,24,2,4,0
2024-10-01,0,28,3,6,0
2024-11-01,0,33,5,8,0
2024-12-01,0,48,4,7,1
2025-01-01,0,49,4,7,0
2025-02-01,0,42,4,6,1
2025-03-01,0,43,3,5,0
2025-04-01,0,46,3,6,0
2025-05-01,0,22,2,6,0
2025-06-01,0,20,2,5,0
2025-07-01,0,17,2,4,0
2025-08-01,0,18,2,4,0
2025-09-01,0,16,2,4,0
2025-10-01,0,24,3,5,0
2025-11-01,0,31,4,7,0
2025-12-01,0,36,4,6,0
2026-01-01,0,36,4,6,0
2026-02-01,0,33,3,5,0
2026-03-01,0,33,3,5,0
